Напряжение[B], Время[c]
0.1719,2.5439
0.1724,2.5439
0.1729,2.5342
0.1735,2.5391
0.1740,2.5391
0.1745,2.5391
0.1750,2.5391
0.1756,2.5391
0.1761,2.5439
0.1766,2.5488
0.1771,2.5439
0.1777,2.5391
0.1782,2.5391
0.1787,2.5439
0.1792,2.5391
0.1797,2.5342
0.1803,2.5391
0.1808,2.5391
0.1813,2.5391
0.1818,2.5439
0.1824,2.5439
0.1829,2.5439
0.1834,2.5439
0.1839,2.5391
0.1844,2.5391
0.1850,2.5439
0.1855,2.5391
0.1860,2.5391
0.1865,2.5391
0.1871,2.5439
0.1876,2.5439
0.1881,2.5391
0.1886,2.5439
0.1891,2.5439
0.1897,2.5342
0.1902,2.5391
0.1907,2.5391
0.1912,2.5391
0.1918,2.5391
0.1923,2.5342
0.1928,2.5439
0.1933,2.5439
0.1939,2.5439
0.1944,2.5439
0.1949,2.5391
0.1954,2.5342
0.1960,2.5342
0.1965,2.5439
0.1970,2.5439
0.1975,2.5391
0.1980,2.5391
0.1986,2.5342
0.1991,2.5439
0.1996,2.5439
0.2001,2.5439
0.2007,2.5439
0.2012,2.5439
0.2017,2.5439
0.2022,2.5439
0.2027,2.5342
0.2033,2.5342
0.2038,2.5439
0.2043,2.5439
0.2048,2.5439
0.2054,2.5391
0.2059,2.5391
0.2064,2.5342
0.2069,2.5391
0.2074,2.5391
0.2080,2.5439
0.2085,2.5439
0.2090,2.5439
0.2095,2.5439
0.2101,2.5391
0.2106,2.5342
0.2111,2.5439
0.2116,2.5439
0.2122,2.5439
0.2127,2.5391
0.2132,2.5439
0.2137,2.5439
0.2143,2.5439
0.2148,2.5439
0.2153,2.5391
0.2158,2.5391
0.2164,2.5391
0.2169,2.5439
0.2174,2.5391
0.2179,2.5391
0.2185,2.5439
0.2190,2.5391
0.2195,2.5391
0.2200,2.5439
0.2206,2.5342
0.2211,2.5439
0.2216,2.5439
0.2221,2.5439
0.2227,2.5439
0.2232,2.5439
0.2237,2.5391
0.2242,2.5439
0.2248,2.5439
0.2253,2.5391
0.2258,2.5439
0.2263,2.5439
0.2269,2.5342
0.2274,2.5391
0.2279,2.5439
0.2284,2.5391
0.2290,2.5391
0.2295,2.5439
0.2300,2.5439
0.2305,2.5391
0.2311,2.5342
0.2316,2.5439
0.2321,2.5439
0.2326,2.5439
0.2332,2.5439
0.2337,2.5293
0.2342,2.5391
