Напряжение[B], Время[c]
0.0006,1.1133
0.0011,1.1084
0.0016,1.1084
0.0022,1.1035
0.0078,1.1084
0.0083,1.1084
0.0089,1.1133
0.0094,1.1133
0.0099,1.1084
0.0104,1.1084
0.0110,1.0986
0.0115,1.1035
0.0120,1.1084
0.0125,1.1084
0.0130,1.1084
0.0136,1.1084
0.0141,1.1084
0.0146,1.1084
0.0151,1.1084
0.0157,1.1084
0.0162,1.1084
0.0167,1.1084
0.0172,1.1035
0.0178,1.1084
0.0183,1.1084
0.0188,1.1084
0.0194,1.1084
0.0199,1.1084
0.0204,1.1084
0.0210,1.1035
0.0216,1.1084
0.0221,1.1084
0.0250,1.1084
0.0256,1.1035
0.0262,1.1084
0.0268,1.1084
0.0274,1.1084
0.0280,1.1084
0.0286,1.1035
0.0291,1.1084
0.0297,1.1035
0.0303,1.1084
0.0309,1.1035
0.0314,1.1133
0.0320,1.1084
0.0326,1.1084
0.0331,1.1035
0.0337,1.1084
0.0342,1.1084
0.0347,1.1084
0.0353,1.1035
0.0358,1.1084
0.0364,1.1084
0.0370,1.1035
0.0376,1.1035
0.0381,1.1084
0.0387,1.1084
0.0392,1.1035
0.0398,1.1084
0.0403,1.1035
0.0409,1.1035
0.0415,1.1035
0.0420,1.1084
0.0426,1.1084
0.0431,1.1084
0.0437,1.1035
0.0442,1.1084
0.0447,1.1084
0.0453,1.1084
0.0459,1.1084
0.0464,1.1035
0.0469,1.1084
0.0475,1.1084
0.0480,1.1084
0.0486,1.1084
0.0491,1.1084
0.0497,1.1084
0.0503,1.1084
0.0508,1.1084
0.0513,1.1035
0.0518,1.1084
0.0524,1.1084
0.0529,1.1084
0.0535,1.1084
0.0540,1.1084
0.0546,1.1084
0.0551,1.1084
0.0557,1.1035
0.0562,1.1035
0.0568,1.1084
0.0574,1.1035
0.0580,1.1084
0.0585,1.1084
0.0591,1.1035
0.0596,1.1084
0.0602,1.1084
0.0607,1.1084
0.0613,1.1035
0.0619,1.1084
0.0625,1.1035
0.0630,1.1133
0.0636,1.1084
0.0641,1.1035
0.0647,1.1035
0.0653,1.1084
0.0658,1.1133
0.0664,1.1084
0.0670,1.1084
0.0675,1.1084
0.0681,1.1084
0.0688,1.1084
0.0694,1.1084
0.0701,1.1084
0.0707,1.1084
0.0713,1.1084
0.0720,1.1084
0.0726,1.1035
0.0732,1.1084
0.0738,1.1084
0.0744,1.1084
0.0750,1.1084
0.0757,1.1084
0.0763,1.1084
0.0769,1.1084
0.0776,1.1084
0.0782,1.1084
0.0788,1.1084
0.0794,1.1084
0.0800,1.1035
0.0805,1.1133
0.0811,1.1084
0.0816,1.1035
0.0821,1.1084
0.0827,1.1133
0.0832,1.1084
0.0838,1.1035
0.0843,1.1133
0.0850,1.1084
0.0855,1.1084
0.0861,1.1133
0.0866,1.1035
0.0872,1.1084
0.0877,1.1084
0.0883,1.1084
0.0889,1.1084
0.0894,1.1084
0.0899,1.1084
0.0905,1.1084
0.0910,1.1084
0.0915,1.1084
0.0921,1.1084
0.0926,1.1084
0.0932,1.1084
0.0938,1.1084
0.0945,1.1084
0.0951,1.1133
0.0957,1.1084
0.0962,1.1084
0.0967,1.1084
0.0972,1.1084
0.0978,1.1035
0.0983,1.1035
0.0988,1.1084
0.0993,1.1084
0.0999,1.1084
0.1004,1.1084
0.1010,1.1084
0.1015,1.1035
0.1021,1.1084
0.1026,1.1084
0.1031,1.1084
0.1037,1.1084
0.1042,1.1084
0.1047,1.1084
0.1053,1.1035
0.1058,1.1035
0.1064,1.1084
0.1069,1.1084
