Напряжение[B], Время[c]
0.1827,2.0654
0.1832,2.0557
0.1838,2.0605
0.1843,2.0654
0.1848,2.0654
0.1854,2.0605
0.1859,2.0557
0.1865,2.0654
0.1871,2.0508
0.1877,2.0654
0.1883,2.0654
0.1889,2.0605
0.1896,2.0605
0.1901,2.0508
0.1908,2.0654
0.1915,2.0654
0.1921,2.0654
0.1927,2.0654
0.1933,2.0654
0.1939,2.0654
0.1945,2.0654
0.1951,2.0605
0.1956,2.0605
0.1962,2.0605
0.1968,2.0605
0.1974,2.0654
0.1980,2.0605
0.1985,2.0557
0.1991,2.0654
0.1997,2.0654
0.2003,2.0654
0.2009,2.0605
0.2015,2.0654
0.2020,2.0605
0.2026,2.0654
0.2033,2.0605
0.2039,2.0654
0.2045,2.0654
0.2050,2.0557
0.2056,2.0654
0.2062,2.0605
0.2067,2.0605
0.2073,2.0557
0.2079,2.0654
0.2085,2.0654
0.2091,2.0605
0.2097,2.0605
0.2103,2.0605
0.2108,2.0605
0.2114,2.0605
0.2120,2.0605
0.2125,2.0557
0.2131,2.0557
0.2137,2.0654
0.2143,2.0605
0.2149,2.0605
0.2155,2.0654
0.2161,2.0605
0.2167,2.0605
0.2172,2.0654
0.2178,2.0654
0.2183,2.0605
0.2189,2.0654
0.2195,2.0654
0.2200,2.0654
0.2206,2.0654
0.2212,2.0605
0.2218,2.0605
0.2225,2.0654
0.2230,2.0605
0.2236,2.0654
0.2242,2.0605
0.2248,2.0605
0.2253,2.0654
0.2259,2.0654
0.2264,2.0605
0.2269,2.0605
0.2274,2.0654
0.2280,2.0605
0.2285,2.0557
0.2290,2.0508
0.2296,2.0605
0.2301,2.0605
0.2307,2.0654
0.2313,2.0654
0.2319,2.0605
0.2324,2.0605
0.2330,2.0605
0.2336,2.0605
0.2341,2.0605
0.2347,2.0654
0.2352,2.0654
0.2358,2.0654
0.2363,2.0605
0.2369,2.0557
0.2374,2.0654
0.2380,2.0654
0.2386,2.0654
0.2392,2.0654
0.2397,2.0654
0.2402,2.0605
0.2408,2.0605
0.2413,2.0605
0.2419,2.0605
0.2425,2.0654
0.2430,2.0605
0.2436,2.0654
0.2442,2.0557
0.2447,2.0605
0.2453,2.0654
0.2458,2.0605
0.2464,2.0557
0.2469,2.0557
0.2475,2.0654
