Время[c], Напряжение[B]
0.1679,2.5586
0.1684,2.5635
0.1689,2.5684
0.1695,2.5586
0.1700,2.5537
0.1705,2.5586
0.1710,2.5586
0.1716,2.5537
0.1721,2.5635
0.1726,2.5586
0.1731,2.5635
0.1737,2.5635
0.1742,2.5635
0.1747,2.5586
0.1752,2.5635
0.1758,2.5684
0.1763,2.5684
0.1768,2.5684
0.1773,2.5635
0.1779,2.5635
0.1784,2.5635
0.1789,2.5635
0.1794,2.5586
0.1800,2.5635
0.1805,2.5635
0.1810,2.5635
0.1815,2.5635
0.1821,2.5635
0.1826,2.5635
0.1831,2.5635
0.1836,2.5635
0.1842,2.5635
0.1847,2.5635
0.1852,2.5586
0.1857,2.5635
0.1863,2.5635
0.1868,2.5635
0.1873,2.5635
0.1878,2.5586
0.1884,2.5586
0.1889,2.5586
0.1894,2.5635
0.1899,2.5684
0.1904,2.5635
0.1910,2.5635
0.1915,2.5635
0.1920,2.5586
0.1925,2.5586
0.1931,2.5586
0.1936,2.5586
0.1941,2.5537
0.1946,2.5635
0.1952,2.5635
0.1957,2.5635
0.1962,2.5635
0.1967,2.5635
0.1973,2.5537
0.1978,2.5635
0.1983,2.5537
0.1988,2.5635
0.1994,2.5586
0.1999,2.5635
0.2004,2.5586
0.2009,2.5586
0.2015,2.5586
0.2020,2.5684
0.2025,2.5586
0.2030,2.5537
0.2036,2.5586
0.2041,2.5537
0.2046,2.5586
0.2051,2.5586
0.2057,2.5586
0.2062,2.5586
0.2067,2.5635
0.2072,2.5635
0.2078,2.5586
0.2083,2.5586
0.2088,2.5635
0.2093,2.5586
0.2099,2.5635
0.2104,2.5635
0.2109,2.5684
0.2114,2.5586
0.2119,2.5537
0.2125,2.5586
0.2130,2.5635
0.2135,2.5586
0.2140,2.5684
0.2146,2.5635
0.2151,2.5635
0.2156,2.5635
0.2162,2.5635
0.2167,2.5635
0.2172,2.5635
0.2177,2.5635
0.2183,2.5586
0.2188,2.5635
0.2193,2.5635
0.2198,2.5635
0.2204,2.5586
0.2209,2.5635
0.2214,2.5586
0.2219,2.5635
0.2224,2.5635
0.2230,2.5635
0.2235,2.5635
0.2240,2.5586
0.2245,2.5635
0.2251,2.5684
0.2256,2.5635
0.2261,2.5635
0.2266,2.5635
0.2272,2.5635
0.2277,2.5635
0.2282,2.5635
0.2287,2.5586
0.2293,2.5635
0.2298,2.5537
0.2303,2.5635
0.2308,2.5635
0.2314,2.5635
0.2319,2.5586
0.2324,2.5635
0.2329,2.5635
0.2335,2.5635
0.2340,2.5635
0.2345,2.5586
0.2350,2.5537
0.2356,2.5635
0.2361,2.5635
0.2366,2.5635
0.2371,2.5635
0.2377,2.5635
0.2382,2.5635
0.2387,2.5635
0.2392,2.5635
0.2398,2.5586
0.2403,2.5635
0.2408,2.5586
0.2413,2.5635
0.2419,2.5635
0.2424,2.5635
0.2429,2.5635
0.2434,2.5586
0.2440,2.5635
0.2445,2.5635
0.2450,2.5635
0.2455,2.5635
0.2461,2.5537
0.2466,2.5635
0.2471,2.5635
0.2476,2.5684
0.2482,2.5635
0.2487,2.5635
0.2493,2.5635
0.2499,2.5635
0.2504,2.5635
0.2510,2.5635
0.2516,2.5635
0.2521,2.5635
0.2527,2.5635
0.2532,2.5537
0.2537,2.5586
0.2543,2.5635
0.2549,2.5635
0.2554,2.5635
0.2559,2.5635
0.2564,2.5635
0.2570,2.5635
0.2575,2.5537
0.2580,2.5586
0.2585,2.5635
0.2591,2.5586
0.2596,2.5635
0.2601,2.5586
0.2607,2.5586
0.2613,2.5537
0.2618,2.5586
0.2624,2.5635
0.2629,2.5635
0.2635,2.5488
0.2640,2.5635
0.2645,2.5635
0.2651,2.5684
0.2656,2.5586
0.2662,2.5586
0.2667,2.5635
0.2672,2.5586
0.2677,2.5635
0.2682,2.5586
0.2688,2.5635
0.2693,2.5635
0.2698,2.5586
0.2704,2.5635
0.2709,2.5635
0.2714,2.5586
0.2719,2.5586
0.2724,2.5635
0.2730,2.5635
0.2735,2.5635
0.2740,2.5537
0.2745,2.5635
0.2751,2.5635
0.2756,2.5586
0.2761,2.5586
0.2766,2.5635
0.2772,2.5635
0.2777,2.5537
0.2782,2.5586
0.2787,2.5537
0.2792,2.5586
0.2798,2.5537
0.2803,2.5586
0.2808,2.5586
0.2813,2.5586
0.2819,2.5586
0.2824,2.5537
0.2829,2.5635
0.2835,2.5537
0.2840,2.5537
0.2845,2.5635
0.2850,2.5635
0.2855,2.5635
0.2861,2.5635
0.2866,2.5635
0.2872,2.5635
0.2877,2.5586
0.2882,2.5635
0.2887,2.5488
0.2893,2.5537
0.2898,2.5586
0.2903,2.5635
0.2908,2.5586
0.2913,2.5488
0.2919,2.5586
0.2924,2.5635
0.2929,2.5586
0.2934,2.5586
0.2940,2.5635
0.2945,2.5635
0.2950,2.5635
0.2955,2.5537
0.2961,2.5635
0.2966,2.5635
0.2971,2.5635
0.2976,2.5635
0.2981,2.5635
0.2987,2.5586
0.2992,2.5635
0.2997,2.5635
0.3002,2.5635
0.3008,2.5537
0.3013,2.5586
0.3018,2.5635
0.3023,2.5635
0.3029,2.5635
0.3034,2.5586
0.3039,2.5537
0.3044,2.5537
0.3049,2.5586
0.3055,2.5586
0.3060,2.5586
0.3065,2.5635
0.3070,2.5635
0.3076,2.5635
0.3081,2.5586
0.3086,2.5635
0.3091,2.5537
0.3097,2.5635
0.3102,2.5635
0.3107,2.5586
0.3112,2.5635
0.3117,2.5586
0.3123,2.5488
0.3128,2.5635
0.3133,2.5586
0.3139,2.5586
0.3144,2.5586
0.3149,2.5635
0.3154,2.5635
0.3159,2.5635
0.3165,2.5635
0.3170,2.5635
0.3175,2.5537
0.3180,2.5635
0.3186,2.5586
0.3191,2.5586
0.3196,2.5635
0.3201,2.5586
0.3207,2.5684
0.3212,2.5635
0.3217,2.5586
0.3222,2.5586
0.3227,2.5537
0.3233,2.5635
0.3238,2.5586
0.3243,2.5586
0.3248,2.5635
0.3254,2.5586
0.3259,2.5537
0.3264,2.5635
0.3269,2.5537
0.3275,2.5537
0.3280,2.5586
0.3285,2.5586
0.3290,2.5586
0.3295,2.5586
0.3301,2.5635
0.3306,2.5488
0.3311,2.5537
0.3316,2.5488
0.3322,2.5537
0.3327,2.5537
0.3332,2.5537
0.3337,2.5586
0.3343,2.5635
0.3348,2.5537
0.3353,2.5586
0.3358,2.5586
0.3364,2.5537
0.3369,2.5586
0.3374,2.5586
0.3379,2.5586
0.3384,2.5635
0.3390,2.5635
0.3395,2.5635
0.3400,2.5635
0.3405,2.5586
0.3411,2.5586
0.3416,2.5586
0.3421,2.5586
0.3426,2.5635
0.3432,2.5635
0.3437,2.5635
0.3442,2.5635
0.3447,2.5586
0.3453,2.5537
0.3458,2.5635
0.3463,2.5586
0.3468,2.5586
0.3473,2.5586
