Напряжение[B], Время[c]
0.1702,1.5967
0.1707,1.5918
0.1713,1.5967
0.1718,1.5967
0.1723,1.5918
0.1728,1.5967
0.1734,1.5967
0.1739,1.5967
0.1744,1.5967
0.1749,1.5918
0.1754,1.5967
0.1760,1.5967
0.1765,1.5967
0.1770,1.5967
0.1775,1.5967
0.1781,1.5967
0.1786,1.5967
0.1791,1.5918
0.1796,1.5967
0.1802,1.5967
0.1807,1.5967
0.1812,1.5967
0.1817,1.5967
0.1822,1.5918
0.1828,1.5967
0.1833,1.5918
0.1838,1.5967
0.1843,1.5967
0.1849,1.5967
0.1854,1.5918
0.1859,1.5918
0.1864,1.5967
0.1870,1.5967
0.1875,1.5967
0.1880,1.5967
0.1885,1.5967
0.1891,1.5918
0.1896,1.5918
0.1901,1.5967
0.1906,1.5918
0.1912,1.5918
0.1917,1.5967
0.1922,1.5967
0.1927,1.5967
0.1933,1.5967
0.1938,1.5967
0.1943,1.5967
0.1948,1.5967
0.1953,1.5967
0.1959,1.5967
0.1964,1.5918
0.1969,1.5918
0.1974,1.5967
0.1980,1.5967
0.1985,1.5967
0.1990,1.5967
0.1995,1.5967
0.2000,1.5967
0.2006,1.5918
0.2011,1.5967
0.2016,1.6016
0.2021,1.5967
0.2027,1.5918
0.2032,1.5967
0.2037,1.5967
0.2042,1.5967
0.2048,1.5967
0.2053,1.5918
0.2058,1.5967
0.2063,1.5967
0.2068,1.5967
0.2074,1.5967
0.2079,1.5967
0.2084,1.5967
0.2089,1.5967
0.2095,1.5967
0.2100,1.5967
0.2105,1.5967
0.2110,1.5918
0.2115,1.5967
0.2121,1.5967
0.2126,1.5967
0.2131,1.5967
0.2136,1.5967
0.2142,1.5967
0.2147,1.5967
0.2152,1.5967
0.2157,1.6016
0.2163,1.5918
0.2168,1.5967
0.2173,1.5967
0.2178,1.5967
0.2184,1.5967
0.2189,1.5918
0.2194,1.5918
0.2199,1.5967
0.2205,1.5967
0.2210,1.5967
0.2215,1.5967
0.2220,1.5967
0.2226,1.5967
0.2231,1.6016
0.2236,1.5967
0.2242,1.5967
0.2247,1.5967
0.2253,1.5967
0.2258,1.5967
0.2263,1.5967
0.2269,1.5918
0.2274,1.5967
0.2279,1.5967
0.2284,1.5967
0.2289,1.5918
0.2295,1.5967
0.2300,1.5967
0.2305,1.5967
0.2310,1.5967
0.2316,1.5918
0.2321,1.5967
0.2326,1.5967
0.2331,1.5967
0.2337,1.5967
0.2342,1.5967
0.2347,1.5967
0.2352,1.5967
0.2358,1.5967
0.2363,1.5967
0.2368,1.5967
0.2373,1.5967
0.2378,1.5967
0.2384,1.5918
0.2389,1.5967
0.2394,1.5967
0.2399,1.5967
0.2405,1.5967
0.2410,1.5967
0.2415,1.5967
0.2420,1.5967
0.2425,1.5967
0.2431,1.5967
0.2436,1.5967
0.2441,1.5918
0.2446,1.5967
0.2452,1.6016
0.2457,1.5967
0.2462,1.5967
0.2467,1.5967
0.2473,1.5967
0.2478,1.5967
0.2483,1.5967
0.2488,1.5967
0.2494,1.5918
0.2499,1.5967
0.2504,1.5967
0.2509,1.5967
0.2514,1.5967
0.2520,1.6016
0.2525,1.5967
0.2530,1.5967
0.2535,1.6016
0.2541,1.5967
0.2546,1.5918
0.2551,1.5967
0.2556,1.5967
0.2561,1.5967
0.2567,1.5918
0.2572,1.5967
0.2577,1.5967
0.2582,1.5967
0.2588,1.5967
0.2593,1.5967
0.2598,1.5967
0.2603,1.5967
0.2609,1.5967
0.2614,1.5967
0.2619,1.5918
0.2624,1.5967
0.2629,1.5967
0.2635,1.5967
0.2640,1.5918
0.2645,1.5967
0.2650,1.5918
0.2656,1.5967
0.2661,1.5967
0.2666,1.5967
0.2671,1.5918
0.2676,1.5967
0.2682,1.5967
0.2687,1.5967
0.2692,1.5967
0.2697,1.5918
0.2703,1.5918
0.2708,1.5918
0.2713,1.5967
0.2718,1.5967
0.2724,1.5967
0.2729,1.5967
0.2734,1.5918
0.2739,1.5967
0.2744,1.5967
0.2750,1.5918
0.2755,1.5967
0.2760,1.5967
0.2765,1.5967
0.2771,1.6016
0.2776,1.5918
0.2781,1.5918
0.2786,1.5967
0.2791,1.5967
0.2797,1.5967
0.2802,1.5918
0.2807,1.5967
0.2812,1.5918
0.2818,1.5967
0.2823,1.6016
0.2828,1.5918
0.2833,1.5967
0.2839,1.5967
0.2844,1.5967
0.2849,1.5918
0.2854,1.5967
0.2860,1.5967
0.2865,1.5967
0.2870,1.5967
0.2875,1.5918
0.2881,1.5967
0.2886,1.5967
0.2891,1.5967
0.2896,1.5967
0.2901,1.5967
0.2907,1.5918
0.2912,1.5918
0.2917,1.5967
0.2922,1.5967
0.2928,1.5967
0.2933,1.5967
0.2938,1.5967
0.2943,1.5967
0.2949,1.5967
0.2954,1.5967
0.2959,1.5918
0.2964,1.5967
0.2969,1.5967
0.2975,1.5967
0.2980,1.5967
0.2985,1.5967
0.2990,1.5967
0.2996,1.6016
0.3001,1.5918
0.3006,1.5967
0.3011,1.5967
0.3016,1.5918
0.3022,1.5918
0.3027,1.5967
0.3032,1.5967
0.3037,1.5967
0.3043,1.5967
0.3048,1.5967
0.3053,1.5918
0.3058,1.5967
0.3064,1.6016
0.3069,1.5967
0.3074,1.5967
0.3079,1.5967
0.3084,1.6016
0.3090,1.5967
0.3095,1.5967
0.3100,1.5967
0.3105,1.5918
0.3111,1.5967
0.3116,1.5967
0.3121,1.5967
0.3126,1.5967
0.3132,1.5918
0.3137,1.5918
0.3142,1.5967
0.3147,1.5967
0.3152,1.5967
0.3158,1.6016
0.3163,1.5918
0.3168,1.5918
0.3173,1.5967
0.3179,1.5967
0.3184,1.5967
0.3189,1.5967
0.3194,1.5967
0.3200,1.5967
0.3205,1.5967
0.3210,1.5967
0.3215,1.5967
0.3220,1.5967
0.3226,1.5967
0.3231,1.5967
0.3236,1.5967
0.3241,1.5967
0.3247,1.5967
0.3252,1.5967
0.3257,1.6016
0.3262,1.5967
0.3268,1.5967
0.3273,1.5918
0.3278,1.5967
0.3283,1.5967
0.3288,1.5967
0.3294,1.5967
0.3299,1.5967
0.3304,1.6016
0.3309,1.5967
0.3315,1.5918
0.3320,1.5967
0.3325,1.5967
0.3330,1.5967
0.3335,1.5967
0.3341,1.5918
0.3346,1.6016
0.3351,1.5967
0.3356,1.5967
0.3362,1.6016
0.3367,1.5967
0.3372,1.5967
0.3377,1.5918
0.3383,1.5967
0.3388,1.5967
0.3393,1.5918
0.3398,1.5967
0.3403,1.5967
0.3409,1.5967
0.3414,1.5967
0.3419,1.5918
0.3424,1.5918
0.3430,1.5918
0.3435,1.6016
0.3440,1.5967
0.3445,1.5967
