Время[c], Напряжение[B]
0.1708,3.3252
0.1713,3.3252
0.1718,3.3203
0.1724,3.3154
0.1729,3.3154
0.1734,3.3252
0.1739,3.3252
0.1744,3.3203
0.1750,3.3252
0.1755,3.3105
0.1760,3.3154
0.1765,3.3154
0.1771,3.3252
0.1776,3.3252
0.1781,3.3252
0.1786,3.3203
0.1791,3.3154
0.1797,3.3105
0.1802,3.3252
0.1807,3.3252
0.1812,3.3203
0.1818,3.3105
0.1823,3.3203
0.1828,3.3203
0.1834,3.3252
0.1839,3.3105
0.1845,3.3154
0.1850,3.3252
0.1856,3.3154
0.1861,3.3252
0.1866,3.3154
0.1872,3.3252
0.1877,3.3252
0.1882,3.3203
0.1887,3.3252
0.1893,3.3252
0.1898,3.3203
0.1903,3.3203
0.1908,3.3252
0.1914,3.3203
0.1919,3.3154
0.1924,3.3252
0.1929,3.3252
0.1935,3.3203
0.1940,3.3252
0.1945,3.3252
0.1950,3.3252
0.1956,3.3105
0.1961,3.3203
0.1966,3.3203
0.1971,3.3252
0.1977,3.3203
0.1982,3.3203
0.1987,3.3203
0.1992,3.3203
0.1998,3.3105
0.2003,3.3203
0.2008,3.3203
0.2013,3.3105
0.2019,3.3154
0.2024,3.3252
0.2029,3.3252
0.2034,3.3105
0.2040,3.3154
0.2045,3.3154
0.2050,3.3203
0.2055,3.3203
0.2061,3.3105
0.2066,3.3252
0.2071,3.3252
0.2076,3.3252
0.2081,3.3154
0.2087,3.3203
0.2092,3.3252
0.2097,3.3105
0.2102,3.3252
0.2108,3.3252
0.2113,3.3252
0.2118,3.3252
0.2123,3.3252
0.2129,3.3154
0.2134,3.3252
0.2139,3.3252
0.2144,3.3154
0.2150,3.3154
0.2155,3.3203
0.2160,3.3203
0.2165,3.3252
0.2171,3.3203
0.2176,3.3252
0.2181,3.3252
0.2187,3.3203
0.2192,3.3154
0.2197,3.3252
0.2202,3.3252
0.2208,3.3252
0.2213,3.3252
0.2218,3.3252
0.2223,3.3252
0.2228,3.3203
0.2234,3.3252
0.2239,3.3252
0.2244,3.3252
0.2249,3.3252
0.2255,3.3252
0.2260,3.3252
0.2265,3.3252
0.2270,3.3252
0.2276,3.3252
0.2281,3.3252
0.2286,3.3252
0.2291,3.3203
0.2297,3.3154
0.2302,3.3252
0.2307,3.3154
0.2312,3.3154
0.2318,3.3252
0.2323,3.3154
0.2328,3.3252
0.2333,3.3203
0.2339,3.3203
0.2344,3.3203
0.2349,3.3252
0.2354,3.3252
0.2360,3.3203
0.2365,3.3154
0.2370,3.3203
0.2375,3.3203
0.2381,3.3154
0.2386,3.3154
0.2391,3.3203
0.2396,3.3203
0.2402,3.3252
0.2407,3.3252
0.2413,3.3252
0.2418,3.3203
0.2423,3.3154
0.2429,3.3252
0.2434,3.3252
0.2439,3.3252
0.2444,3.3203
0.2450,3.3252
0.2455,3.3154
0.2460,3.3154
0.2465,3.3203
0.2471,3.3203
0.2476,3.3154
0.2483,3.3203
0.2488,3.3252
0.2493,3.3252
0.2498,3.3252
0.2504,3.3203
0.2509,3.3154
0.2514,3.3154
0.2519,3.3252
0.2525,3.3252
0.2530,3.3252
0.2535,3.3203
0.2540,3.3252
0.2546,3.3252
0.2551,3.3252
0.2556,3.3252
0.2561,3.3252
0.2567,3.3203
0.2572,3.3154
0.2577,3.3252
0.2582,3.3252
0.2588,3.3105
0.2593,3.3154
0.2598,3.3203
0.2603,3.3203
0.2609,3.3252
0.2614,3.3252
0.2619,3.3252
0.2624,3.3252
0.2630,3.3105
0.2635,3.3252
0.2640,3.3105
0.2645,3.3154
0.2651,3.3154
0.2656,3.3203
0.2661,3.3203
0.2666,3.3203
0.2672,3.3203
0.2677,3.3252
0.2682,3.3252
0.2687,3.3203
0.2693,3.3154
0.2698,3.3252
0.2703,3.3252
0.2708,3.3154
0.2714,3.3105
0.2719,3.3105
0.2724,3.3105
0.2729,3.3252
0.2735,3.3252
0.2740,3.3252
0.2745,3.3105
0.2750,3.3252
0.2755,3.3252
0.2761,3.3252
0.2766,3.3203
0.2771,3.3154
0.2776,3.3105
0.2782,3.3105
0.2787,3.3252
0.2792,3.3252
0.2797,3.3252
0.2803,3.3252
0.2808,3.3252
0.2813,3.3203
0.2819,3.3203
0.2824,3.3203
0.2829,3.3301
0.2834,3.3203
0.2840,3.3252
0.2845,3.3252
0.2850,3.3203
0.2856,3.3252
0.2861,3.3252
0.2866,3.3252
0.2871,3.3203
0.2877,3.3252
0.2882,3.3252
0.2887,3.3203
0.2892,3.3252
0.2898,3.3154
0.2903,3.3154
0.2908,3.3203
0.2913,3.3252
0.2919,3.3105
0.2924,3.3105
0.2929,3.3057
0.2934,3.3252
0.2939,3.3252
0.2945,3.3301
0.2950,3.3252
0.2955,3.3105
0.2960,3.3203
0.2966,3.3252
0.2971,3.3203
0.2976,3.3252
0.2981,3.3252
0.2987,3.3252
0.2992,3.3252
0.2997,3.3203
0.3002,3.3252
0.3008,3.3154
0.3013,3.3105
0.3019,3.3252
0.3024,3.3154
0.3029,3.3203
0.3035,3.3252
0.3040,3.3154
0.3045,3.3252
0.3050,3.3252
0.3056,3.3203
0.3061,3.3154
0.3066,3.3105
0.3071,3.3203
0.3076,3.3252
0.3082,3.3203
0.3087,3.3203
0.3092,3.3203
0.3097,3.3203
0.3103,3.3252
0.3108,3.3252
0.3113,3.3203
0.3118,3.3252
0.3124,3.3154
0.3129,3.3154
0.3134,3.3203
0.3139,3.3154
0.3145,3.3252
0.3150,3.3252
0.3155,3.3252
0.3160,3.3203
0.3166,3.3203
0.3171,3.3154
0.3176,3.3203
0.3181,3.3203
0.3187,3.3252
0.3192,3.3252
0.3197,3.3105
0.3202,3.3154
0.3208,3.3203
0.3213,3.3154
0.3218,3.3105
0.3223,3.3154
0.3229,3.3203
0.3234,3.3252
0.3239,3.3203
0.3244,3.3203
0.3250,3.3252
0.3255,3.3203
0.3260,3.3105
0.3265,3.3203
0.3271,3.3203
0.3276,3.3203
0.3281,3.3203
0.3286,3.3252
0.3291,3.3252
0.3297,3.3105
0.3302,3.3154
0.3307,3.3203
0.3312,3.3252
0.3318,3.3252
0.3323,3.3203
0.3328,3.3154
0.3333,3.3105
0.3339,3.3203
0.3344,3.3252
0.3349,3.3252
0.3354,3.3203
0.3360,3.3154
0.3365,3.3154
0.3370,3.3203
0.3375,3.3203
0.3380,3.3203
0.3386,3.3203
0.3391,3.3203
0.3396,3.3203
0.3401,3.3154
0.3407,3.3252
0.3412,3.3105
0.3417,3.3203
0.3422,3.3154
0.3428,3.3203
0.3433,3.3154
0.3438,3.3203
0.3443,3.3105
0.3449,3.3252
0.3454,3.3203
0.3459,3.3252
0.3464,3.3203
0.3470,3.3203
0.3475,3.3203
0.3480,3.3203
0.3485,3.3252
0.3491,3.3252
0.3496,3.3154
0.3501,3.3203
0.3506,3.3105
0.3512,3.3154
0.3517,3.3105
0.3522,3.3203
0.3528,3.3203
0.3533,3.3203
0.3538,3.3203
0.3543,3.3252
0.3549,3.3203
0.3554,3.3203
0.3559,3.3203
0.3564,3.3203
0.3570,3.3252
0.3575,3.3154
0.3580,3.3203
0.3585,3.3203
0.3591,3.3203
0.3596,3.3252
0.3601,3.3203
0.3607,3.3203
0.3612,3.3154
0.3617,3.3154
0.3622,3.3105
0.3628,3.3203
0.3633,3.3252
0.3638,3.3105
0.3643,3.3203
0.3649,3.3252
0.3654,3.3154
0.3659,3.3154
0.3664,3.3252
0.3670,3.3057
0.3675,3.3105
0.3680,3.3203
0.3685,3.3203
0.3691,3.3203
0.3696,3.3203
0.3701,3.3105
0.3706,3.3252
0.3712,3.3105
0.3717,3.3105
0.3722,3.3252
0.3727,3.3252
0.3733,3.3203
0.3738,3.3105
0.3743,3.3252
0.3748,3.3105
0.3753,3.3105
0.3759,3.3105
0.3764,3.3203
0.3769,3.3203
0.3775,3.3252
0.3781,3.3252
0.3786,3.3105
0.3792,3.3252
0.3797,3.3252
0.3803,3.3105
0.3809,3.3105
0.3814,3.3252
0.3819,3.3203
0.3825,3.3203
0.3831,3.3203
0.3836,3.3154
0.3841,3.3203
0.3847,3.3252
0.3852,3.3203
0.3857,3.3105
0.3862,3.3154
0.3868,3.3252
0.3873,3.3154
0.3878,3.3203
0.3884,3.3252
0.3889,3.3203
0.3895,3.3203
0.3900,3.3154
0.3906,3.3252
0.3912,3.3252
0.3917,3.3203
0.3923,3.3203
0.3928,3.3154
0.3933,3.3203
0.3939,3.3105
0.3944,3.3105
0.3949,3.3252
0.3955,3.3252
0.3960,3.3252
0.3966,3.3105
0.3971,3.3252
0.3977,3.3203
0.3982,3.3203
0.3987,3.3252
0.3992,3.3203
0.3998,3.3105
0.4003,3.3252
0.4008,3.3203
0.4013,3.3252
0.4018,3.3105
0.4024,3.3252
0.4029,3.3252
0.4034,3.3203
0.4039,3.3252
0.4045,3.3252
0.4050,3.3203
0.4055,3.3154
0.4060,3.3203
0.4066,3.3252
0.4071,3.3203
0.4076,3.3154
0.4081,3.3203
0.4086,3.3203
0.4092,3.3203
0.4097,3.3203
0.4102,3.3252
0.4107,3.3252
0.4113,3.3203
0.4118,3.3203
0.4123,3.3105
0.4128,3.3252
0.4134,3.3154
0.4139,3.3252
0.4144,3.3203
0.4150,3.3154
0.4155,3.3203
0.4160,3.3105
0.4165,3.3105
0.4170,3.3203
0.4176,3.3203
0.4181,3.3154
0.4186,3.3105
0.4191,3.3203
0.4197,3.3154
0.4202,3.3203
0.4207,3.3203
0.4212,3.3203
0.4218,3.3203
0.4223,3.3105
0.4228,3.3252
0.4233,3.3203
0.4239,3.3105
0.4244,3.3203
0.4249,3.3252
0.4254,3.3203
0.4260,3.3154
0.4265,3.3154
0.4270,3.3105
0.4275,3.3203
0.4280,3.3252
0.4286,3.3203
0.4291,3.3154
0.4296,3.3203
0.4301,3.3203
0.4307,3.3203
0.4312,3.3252
0.4317,3.3203
0.4322,3.3203
0.4328,3.3203
0.4333,3.3252
0.4338,3.3154
0.4343,3.3105
0.4348,3.3203
0.4354,3.3203
0.4359,3.3154
0.4364,3.3154
0.4369,3.3154
0.4375,3.3203
0.4380,3.3252
0.4385,3.3203
0.4390,3.3203
0.4396,3.3203
0.4401,3.3105
0.4406,3.3203
0.4411,3.3105
0.4416,3.3203
0.4422,3.3252
0.4427,3.3057
0.4432,3.3105
0.4437,3.3154
0.4443,3.3203
0.4448,3.3203
0.4453,3.3252
0.4458,3.3105
0.4464,3.3105
0.4469,3.3252
0.4474,3.3203
0.4479,3.3252
0.4484,3.3203
0.4490,3.3203
0.4495,3.3203
0.4500,3.3105
0.4505,3.3105
0.4511,3.3203
0.4516,3.3203
0.4521,3.3203
0.4526,3.3203
0.4532,3.3203
0.4537,3.3203
0.4542,3.3203
0.4547,3.3203
0.4552,3.3154
0.4558,3.3203
0.4563,3.3154
0.4568,3.3252
0.4573,3.3203
0.4579,3.3252
0.4585,3.3252
0.4590,3.3154
0.4596,3.3105
0.4601,3.3252
0.4607,3.3203
0.4612,3.3252
0.4618,3.3203
0.4623,3.3252
0.4629,3.3203
0.4634,3.3203
0.4639,3.3154
0.4644,3.3154
0.4650,3.3057
0.4655,3.3203
0.4660,3.3105
0.4665,3.3252
0.4671,3.3252
0.4676,3.3203
0.4681,3.3105
0.4686,3.3203
0.4692,3.3154
0.4697,3.3203
0.4702,3.3154
0.4707,3.3154
0.4712,3.3154
0.4718,3.3105
0.4723,3.3252
0.4728,3.3252
0.4733,3.3252
0.4739,3.3057
0.4744,3.3203
0.4749,3.3203
0.4754,3.3252
0.4760,3.3252
0.4765,3.3252
0.4770,3.3203
0.4775,3.3203
0.4780,3.3105
0.4786,3.3057
0.4791,3.3252
0.4796,3.3105
0.4802,3.3203
0.4807,3.3203
0.4813,3.3252
0.4818,3.3252
0.4823,3.3203
0.4829,3.3203
0.4834,3.3203
0.4839,3.3252
0.4845,3.3154
0.4850,3.3252
0.4855,3.3203
0.4860,3.3154
0.4866,3.3105
0.4871,3.3154
0.4876,3.3154
0.4882,3.3203
0.4887,3.3105
0.4892,3.3203
0.4898,3.3203
0.4903,3.3105
0.4908,3.3154
0.4914,3.3203
0.4919,3.3252
0.4925,3.3203
0.4930,3.3252
0.4936,3.3252
0.4941,3.3203
0.4946,3.3252
0.4952,3.3203
0.4957,3.3252
0.4962,3.3252
0.4968,3.3105
0.4973,3.3154
0.4978,3.3252
0.4983,3.3252
0.4989,3.3252
0.4994,3.3252
0.4999,3.3105
0.5005,3.3105
0.5010,3.3203
0.5015,3.3203
0.5020,3.3105
0.5026,3.3203
0.5031,3.3203
0.5036,3.3252
0.5042,3.3203
0.5047,3.3203
0.5052,3.3252
0.5057,3.3203
0.5063,3.3105
0.5068,3.3154
0.5073,3.3105
0.5079,3.3203
0.5084,3.3203
0.5090,3.3057
0.5095,3.3203
0.5101,3.3203
0.5106,3.3252
0.5111,3.3203
0.5116,3.3154
