Время[c], Напряжение[B]
0.1679,2.5684
0.1684,2.5635
0.1689,2.5732
0.1695,2.5586
0.1700,2.5684
0.1705,2.5732
0.1710,2.5684
0.1716,2.5684
0.1721,2.5732
0.1726,2.5635
0.1731,2.5732
0.1737,2.5732
0.1742,2.5732
0.1747,2.5684
0.1752,2.5732
0.1758,2.5684
0.1763,2.5635
0.1768,2.5635
0.1773,2.5732
0.1779,2.5684
0.1784,2.5684
0.1789,2.5732
0.1794,2.5732
0.1800,2.5732
0.1805,2.5684
0.1810,2.5635
0.1815,2.5635
0.1821,2.5732
0.1826,2.5635
0.1831,2.5635
0.1836,2.5684
0.1842,2.5635
0.1847,2.5586
0.1852,2.5684
0.1857,2.5635
0.1863,2.5732
0.1868,2.5732
0.1873,2.5732
0.1878,2.5684
0.1884,2.5732
0.1889,2.5684
0.1894,2.5586
0.1899,2.5732
0.1905,2.5684
0.1910,2.5732
0.1915,2.5684
0.1920,2.5684
0.1926,2.5732
0.1931,2.5732
0.1936,2.5635
0.1941,2.5684
0.1947,2.5684
0.1952,2.5635
0.1957,2.5684
0.1962,2.5635
0.1968,2.5635
0.1973,2.5732
0.1978,2.5732
0.1983,2.5732
0.1989,2.5684
0.1994,2.5684
0.1999,2.5635
0.2004,2.5635
0.2010,2.5732
0.2015,2.5684
0.2020,2.5635
0.2026,2.5732
0.2031,2.5732
0.2036,2.5684
0.2041,2.5732
0.2047,2.5732
0.2052,2.5732
0.2057,2.5684
0.2062,2.5684
0.2068,2.5732
0.2073,2.5732
0.2078,2.5732
0.2083,2.5684
0.2089,2.5684
0.2094,2.5586
0.2099,2.5684
0.2104,2.5635
0.2110,2.5684
0.2115,2.5684
0.2120,2.5586
0.2125,2.5586
0.2131,2.5684
0.2136,2.5635
0.2141,2.5684
0.2146,2.5684
0.2152,2.5732
0.2157,2.5732
0.2162,2.5635
0.2167,2.5732
0.2173,2.5586
0.2178,2.5635
0.2183,2.5635
0.2188,2.5635
0.2194,2.5684
0.2199,2.5732
0.2204,2.5732
0.2209,2.5684
0.2215,2.5732
0.2220,2.5635
0.2225,2.5635
0.2230,2.5732
0.2236,2.5684
0.2241,2.5684
0.2246,2.5732
0.2251,2.5732
0.2257,2.5684
0.2262,2.5635
0.2267,2.5684
0.2272,2.5732
0.2278,2.5684
0.2283,2.5732
0.2288,2.5684
0.2293,2.5684
0.2299,2.5684
0.2304,2.5635
0.2309,2.5635
0.2314,2.5732
0.2320,2.5732
0.2325,2.5684
0.2330,2.5586
0.2335,2.5684
0.2341,2.5684
0.2346,2.5635
0.2351,2.5635
0.2356,2.5732
0.2362,2.5684
