Время[c], Напряжение[В]
4.0382,2.5244
4.0388,2.5293
4.0393,2.5293
4.0398,2.5293
4.0404,2.5293
4.0409,2.5293
4.0415,2.5293
4.0420,2.5244
4.0425,2.5342
4.0432,2.5342
4.0438,2.5342
4.0443,2.5293
4.0448,2.5293
4.0454,2.5342
4.0459,2.5293
4.0465,2.5293
4.0470,2.5244
4.0475,2.5293
4.0481,2.5293
4.0486,2.5342
4.0492,2.5195
4.0497,2.5342
4.0503,2.5293
4.0508,2.5244
4.0514,2.5293
4.0519,2.5293
4.0525,2.5293
4.0530,2.5293
4.0535,2.5293
4.0541,2.5342
4.0546,2.5244
4.0552,2.5293
4.0557,2.5293
4.0563,2.5293
4.0568,2.5293
4.0574,2.5244
4.0579,2.5293
4.0585,2.5244
4.0590,2.5293
4.0595,2.5342
4.0601,2.5195
4.0606,2.5244
4.0612,2.5293
4.0617,2.5293
4.0622,2.5293
4.0628,2.5342
4.0633,2.5244
4.0638,2.5293
4.0644,2.5293
4.0649,2.5195
4.0655,2.5342
4.0660,2.5293
4.0665,2.5293
4.0671,2.5293
4.0676,2.5293
4.0681,2.5195
4.0687,2.5195
4.0692,2.5293
4.0698,2.5195
4.0703,2.5293
4.0708,2.5293
4.0714,2.5293
4.0719,2.5195
4.0724,2.5244
4.0730,2.5293
4.0735,2.5293
4.0741,2.5293
4.0746,2.5244
4.0751,2.5293
4.0757,2.5293
4.0762,2.5293
4.0768,2.5244
4.0773,2.5342
4.0778,2.5342
4.0784,2.5293
4.0789,2.5293
4.0794,2.5293
4.0800,2.5244
4.0805,2.5293
4.0811,2.5195
4.0816,2.5293
4.0821,2.5293
4.0827,2.5293
4.0832,2.5195
4.0838,2.5195
4.0843,2.5342
4.0848,2.5342
4.0854,2.5293
4.0859,2.5293
4.0865,2.5293
4.0870,2.5195
4.0875,2.5195
4.0881,2.5342
4.0886,2.5293
4.0892,2.5293
4.0897,2.5244
4.0902,2.5244
4.0908,2.5244
4.0913,2.5342
4.0918,2.5293
4.0924,2.5293
4.0929,2.5293
4.0935,2.5195
4.0941,2.5293
4.0946,2.5195
4.0952,2.5293
4.0957,2.5293
4.0963,2.5293
4.0968,2.5342
4.0973,2.5244
4.0979,2.5293
4.0984,2.5293
4.0989,2.5244
4.0995,2.5244
4.1000,2.5293
4.1006,2.5195
4.1011,2.5293
4.1016,2.5293
4.1022,2.5293
4.1027,2.5342
4.1032,2.5293
4.1038,2.5244
4.1043,2.5293
4.1049,2.5293
4.1054,2.5244
4.1059,2.5195
4.1065,2.5293
4.1070,2.5293
4.1075,2.5293
4.1081,2.5293
4.1086,2.5293
4.1091,2.5244
4.1097,2.5293
4.1102,2.5293
4.1108,2.5195
4.1113,2.5195
4.1118,2.5293
4.1124,2.5293
4.1129,2.5293
4.1134,2.5293
4.1140,2.5293
4.1145,2.5293
4.1150,2.5293
4.1156,2.5293
4.1161,2.5244
4.1167,2.5195
4.1172,2.5293
4.1177,2.5293
4.1183,2.5293
4.1188,2.5293
4.1193,2.5244
4.1199,2.5293
4.1204,2.5293
4.1209,2.5293
4.1215,2.5195
4.1220,2.5244
4.1226,2.5244
4.1231,2.5293
4.1236,2.5293
4.1242,2.5342
4.1247,2.5244
4.1252,2.5293
4.1258,2.5293
4.1263,2.5342
4.1269,2.5195
4.1274,2.5293
4.1279,2.5293
4.1285,2.5293
4.1290,2.5293
4.1295,2.5293
4.1301,2.5293
4.1306,2.5244
4.1312,2.5342
4.1317,2.5342
4.1322,2.5293
4.1328,2.5342
4.1333,2.5342
4.1338,2.5342
4.1344,2.5293
4.1349,2.5293
4.1354,2.5293
4.1360,2.5293
4.1365,2.5342
4.1371,2.5293
4.1376,2.5293
4.1381,2.5293
4.1387,2.5293
4.1392,2.5293
4.1397,2.5342
4.1403,2.5293
4.1408,2.5195
4.1413,2.5293
4.1419,2.5244
4.1424,2.5244
4.1430,2.5342
4.1435,2.5293
4.1440,2.5293
4.1446,2.5293
4.1451,2.5293
4.1457,2.5293
4.1462,2.5195
4.1467,2.5293
4.1473,2.5293
4.1478,2.5293
4.1483,2.5293
4.1489,2.5244
4.1494,2.5293
4.1500,2.5342
4.1505,2.5293
4.1510,2.5244
4.1516,2.5244
4.1521,2.5293
4.1526,2.5293
4.1532,2.5293
4.1537,2.5293
4.1542,2.5342
4.1548,2.5244
4.1553,2.5244
4.1559,2.5293
4.1564,2.5342
4.1569,2.5293
4.1575,2.5293
4.1580,2.5244
4.1585,2.5293
4.1591,2.5293
4.1596,2.5293
4.1601,2.5244
4.1607,2.5293
4.1612,2.5293
4.1618,2.5293
4.1623,2.5293
4.1628,2.5293
4.1634,2.5244
4.1639,2.5293
4.1644,2.5293
4.1650,2.5342
4.1655,2.5244
4.1660,2.5244
4.1666,2.5244
4.1671,2.5342
4.1677,2.5244
4.1682,2.5293
4.1687,2.5293
4.1693,2.5244
4.1698,2.5293
4.1704,2.5342
4.1709,2.5244
4.1714,2.5244
4.1720,2.5244
4.1725,2.5293
4.1730,2.5293
4.1736,2.5342
4.1741,2.5244
4.1746,2.5293
4.1752,2.5195
4.1757,2.5244
4.1763,2.5293
4.1768,2.5244
4.1773,2.5244
4.1779,2.5244
4.1784,2.5293
4.1789,2.5293
4.1795,2.5244
4.1800,2.5244
4.1806,2.5293
4.1811,2.5195
4.1817,2.5293
4.1822,2.5293
4.1827,2.5195
4.1833,2.5244
4.1838,2.5293
4.1844,2.5293
4.1849,2.5293
4.1854,2.5293
4.1860,2.5293
4.1865,2.5195
4.1870,2.5293
4.1876,2.5293
4.1881,2.5293
4.1886,2.5293
4.1892,2.5244
4.1897,2.5293
4.1903,2.5293
4.1908,2.5195
4.1913,2.5293
4.1919,2.5244
4.1924,2.5244
4.1929,2.5293
4.1935,2.5293
4.1940,2.5293
4.1945,2.5244
4.1951,2.5195
4.1956,2.5293
4.1962,2.5342
4.1967,2.5293
4.1972,2.5244
4.1978,2.5244
4.1983,2.5293
4.1988,2.5293
4.1994,2.5293
4.1999,2.5244
4.2004,2.5195
4.2010,2.5293
4.2015,2.5293
4.2021,2.5293
4.2026,2.5195
4.2032,2.5293
4.2037,2.5195
4.2042,2.5293
4.2048,2.5293
4.2053,2.5293
4.2058,2.5293
4.2064,2.5293
4.2069,2.5293
4.2074,2.5342
4.2080,2.5293
4.2085,2.5244
4.2091,2.5244
4.2096,2.5342
4.2101,2.5244
4.2107,2.5293
4.2112,2.5244
4.2117,2.5293
4.2123,2.5244
4.2128,2.5293
4.2134,2.5293
4.2139,2.5293
4.2144,2.5293
4.2150,2.5293
4.2155,2.5293
4.2160,2.5293
4.2166,2.5293
4.2171,2.5195
4.2176,2.5244
4.2182,2.5293
4.2187,2.5195
4.2193,2.5293
4.2198,2.5293
4.2203,2.5244
4.2209,2.5293
4.2214,2.5342
4.2219,2.5293
4.2225,2.5342
4.2230,2.5293
4.2235,2.5244
4.2241,2.5293
4.2246,2.5244
4.2252,2.5342
4.2257,2.5293
4.2262,2.5293
4.2268,2.5293
4.2273,2.5293
4.2278,2.5293
4.2284,2.5342
4.2289,2.5293
4.2294,2.5342
4.2300,2.5244
4.2305,2.5293
4.2311,2.5293
4.2316,2.5293
4.2321,2.5293
4.2327,2.5244
4.2332,2.5293
4.2337,2.5293
4.2343,2.5293
4.2348,2.5293
4.2353,2.5293
4.2359,2.5293
4.2364,2.5244
4.2370,2.5244
4.2375,2.5293
4.2380,2.5293
4.2386,2.5293
4.2391,2.5293
4.2397,2.5293
4.2402,2.5195
4.2407,2.5293
4.2413,2.5293
4.2418,2.5293
4.2423,2.5293
4.2429,2.5293
4.2434,2.5342
4.2440,2.5293
4.2445,2.5342
4.2450,2.5293
4.2456,2.5342
4.2461,2.5195
4.2467,2.5293
4.2472,2.5293
4.2477,2.5342
4.2483,2.5244
4.2488,2.5293
4.2493,2.5342
4.2499,2.5293
4.2504,2.5293
4.2509,2.5293
4.2515,2.5293
4.2520,2.5293
4.2526,2.5342
4.2531,2.5342
4.2537,2.5293
4.2542,2.5342
4.2547,2.5293
4.2553,2.5244
4.2558,2.5342
4.2564,2.5244
4.2569,2.5342
4.2574,2.5293
4.2580,2.5293
4.2585,2.5342
4.2590,2.5293
4.2596,2.5342
4.2601,2.5342
4.2606,2.5293
4.2612,2.5244
4.2617,2.5293
4.2623,2.5342
4.2628,2.5195
4.2633,2.5342
4.2639,2.5293
4.2644,2.5293
4.2649,2.5293
4.2655,2.5293
4.2660,2.5342
4.2665,2.5293
4.2671,2.5293
4.2676,2.5244
4.2682,2.5293
4.2687,2.5293
4.2692,2.5342
4.2698,2.5293
4.2703,2.5342
4.2708,2.5293
4.2714,2.5342
4.2719,2.5293
4.2724,2.5244
4.2730,2.5244
4.2735,2.5342
4.2741,2.5244
4.2746,2.5293
4.2751,2.5342
4.2757,2.5342
4.2762,2.5293
4.2767,2.5342
4.2773,2.5244
4.2778,2.5244
4.2784,2.5244
4.2789,2.5293
4.2794,2.5293
4.2800,2.5293
4.2805,2.5342
4.2810,2.5342
4.2816,2.5293
4.2821,2.5244
4.2827,2.5244
4.2832,2.5293
4.2838,2.5293
4.2843,2.5342
4.2848,2.5293
4.2854,2.5293
4.2859,2.5342
4.2864,2.5342
4.2870,2.5244
4.2875,2.5293
4.2881,2.5293
4.2886,2.5293
4.2891,2.5293
4.2897,2.5342
4.2902,2.5342
4.2908,2.5293
4.2913,2.5293
4.2918,2.5293
4.2924,2.5195
4.2929,2.5293
4.2935,2.5342
4.2940,2.5293
4.2945,2.5293
4.2951,2.5342
4.2956,2.5342
4.2961,2.5244
4.2967,2.5293
4.2972,2.5293
4.2978,2.5244
4.2983,2.5293
4.2988,2.5342
4.2994,2.5342
4.2999,2.5293
4.3004,2.5293
4.3010,2.5342
4.3015,2.5293
4.3020,2.5293
4.3026,2.5244
4.3031,2.5293
4.3037,2.5244
4.3042,2.5293
4.3047,2.5342
4.3053,2.5195
4.3058,2.5195
4.3064,2.5342
4.3069,2.5244
4.3074,2.5293
4.3080,2.5342
4.3085,2.5293
4.3090,2.5293
4.3096,2.5293
4.3101,2.5342
4.3107,2.5244
4.3112,2.5195
4.3117,2.5244
4.3123,2.5342
4.3128,2.5342
4.3133,2.5293
4.3139,2.5293
4.3144,2.5244
4.3149,2.5293
4.3155,2.5293
4.3160,2.5293
4.3166,2.5293
4.3171,2.5342
4.3176,2.5293
4.3182,2.5293
4.3187,2.5293
4.3192,2.5293
4.3198,2.5293
4.3203,2.5293
4.3208,2.5293
4.3214,2.5342
4.3219,2.5293
4.3225,2.5293
4.3230,2.5293
4.3235,2.5293
4.3241,2.5293
4.3246,2.5293
4.3251,2.5244
4.3257,2.5293
4.3262,2.5293
4.3267,2.5293
4.3273,2.5342
4.3278,2.5342
4.3284,2.5293
4.3289,2.5293
4.3294,2.5293
4.3300,2.5244
4.3305,2.5293
4.3310,2.5342
4.3316,2.5293
4.3321,2.5293
4.3327,2.5244
4.3332,2.5293
4.3337,2.5244
4.3343,2.5195
4.3348,2.5293
4.3353,2.5195
4.3359,2.5195
4.3364,2.5342
4.3369,2.5244
4.3375,2.5293
4.3380,2.5195
4.3386,2.5293
4.3391,2.5244
4.3396,2.5293
4.3402,2.5293
4.3407,2.5293
4.3412,2.5342
4.3418,2.5293
4.3423,2.5293
4.3428,2.5293
4.3438,2.5293
4.3444,2.5293
4.3451,2.5293
4.3457,2.5293
4.3462,2.5195
4.3468,2.5293
4.3488,2.5293
4.3494,2.5293
4.3499,2.5244
4.3505,2.5293
4.3510,2.5293
4.3516,2.5195
4.3521,2.5293
4.3526,2.5293
4.3532,2.5293
4.3537,2.5293
4.3544,2.5293
4.3549,2.5293
4.3555,2.5293
4.3560,2.5342
4.3566,2.5293
4.3571,2.5293
4.3576,2.5293
4.3582,2.5293
4.3587,2.5244
4.3593,2.5293
4.3598,2.5293
4.3603,2.5293
4.3609,2.5244
4.3614,2.5195
4.3620,2.5342
4.3625,2.5293
4.3630,2.5293
4.3636,2.5293
4.3641,2.5244
4.3647,2.5293
4.3652,2.5342
4.3657,2.5293
4.3663,2.5293
4.3668,2.5293
4.3674,2.5293
4.3679,2.5293
4.3684,2.5293
4.3690,2.5342
4.3695,2.5293
4.3701,2.5293
4.3706,2.5293
4.3712,2.5195
4.3717,2.5293
4.3723,2.5293
4.3728,2.5293
4.3733,2.5244
4.3739,2.5293
4.3744,2.5293
4.3750,2.5293
4.3755,2.5293
4.3761,2.5293
4.3766,2.5244
4.3772,2.5293
4.3777,2.5342
4.3782,2.5195
4.3788,2.5293
4.3793,2.5293
4.3799,2.5293
4.3804,2.5293
4.3809,2.5342
4.3815,2.5293
4.3820,2.5293
4.3826,2.5244
4.3831,2.5293
4.3837,2.5293
4.3842,2.5293
4.3847,2.5293
4.3853,2.5293
4.3858,2.5244
4.3864,2.5244
4.3869,2.5293
4.3874,2.5293
4.3880,2.5244
4.3885,2.5293
4.3891,2.5293
4.3896,2.5342
4.3901,2.5195
4.3907,2.5293
4.3912,2.5293
4.3918,2.5342
4.3923,2.5342
4.3929,2.5244
4.3934,2.5293
4.3939,2.5342
4.3945,2.5293
4.3950,2.5244
4.3955,2.5342
4.3961,2.5293
4.3966,2.5293
4.3972,2.5195
4.3977,2.5342
4.3982,2.5342
4.3988,2.5293
4.3993,2.5293
4.3998,2.5293
4.4004,2.5244
4.4009,2.5293
4.4015,2.5195
4.4020,2.5195
4.4025,2.5293
4.4031,2.5293
4.4036,2.5244
4.4042,2.5244
4.4047,2.5244
4.4052,2.5195
4.4058,2.5293
4.4063,2.5195
4.4068,2.5293
4.4074,2.5342
4.4079,2.5293
4.4085,2.5244
4.4090,2.5293
4.4095,2.5342
4.4101,2.5293
4.4106,2.5293
4.4111,2.5293
4.4117,2.5293
4.4122,2.5293
4.4128,2.5293
4.4133,2.5293
4.4138,2.5293
4.4144,2.5293
4.4149,2.5293
4.4154,2.5244
4.4160,2.5244
4.4165,2.5195
4.4171,2.5244
4.4176,2.5293
4.4181,2.5293
4.4187,2.5293
4.4192,2.5293
4.4198,2.5293
4.4204,2.5244
4.4210,2.5342
4.4216,2.5244
4.4222,2.5293
4.4228,2.5293
4.4234,2.5342
4.4240,2.5293
4.4245,2.5342
4.4251,2.5293
4.4256,2.5244
4.4262,2.5293
4.4267,2.5195
4.4273,2.5293
4.4278,2.5293
4.4284,2.5293
4.4289,2.5293
4.4295,2.5244
4.4300,2.5293
4.4305,2.5293
4.4311,2.5195
4.4316,2.5244
4.4322,2.5293
4.4327,2.5293
4.4333,2.5293
4.4338,2.5342
4.4343,2.5244
4.4349,2.5293
4.4354,2.5244
4.4360,2.5293
4.4366,2.5293
4.4372,2.5293
4.4378,2.5244
4.4383,2.5293
4.4389,2.5293
4.4395,2.5244
4.4401,2.5342
4.4407,2.5293
4.4412,2.5244
4.4418,2.5293
4.4423,2.5195
4.4429,2.5293
4.4434,2.5244
4.4440,2.5195
4.4447,2.5293
4.4452,2.5293
4.4458,2.5293
4.4463,2.5293
4.4469,2.5244
4.4474,2.5293
4.4479,2.5293
4.4485,2.5293
4.4490,2.5293
4.4495,2.5244
4.4501,2.5293
4.4506,2.5244
4.4511,2.5293
4.4517,2.5342
4.4522,2.5293
4.4528,2.5244
4.4533,2.5244
4.4538,2.5244
4.4544,2.5244
4.4549,2.5293
4.4555,2.5195
4.4560,2.5244
4.4566,2.5195
4.4571,2.5293
4.4576,2.5293
4.4582,2.5293
4.4587,2.5195
4.4592,2.5244
4.4598,2.5195
4.4603,2.5244
4.4608,2.5195
4.4614,2.5293
4.4619,2.5293
4.4624,2.5293
4.4630,2.5293
4.4635,2.5293
4.4640,2.5244
4.4646,2.5244
4.4651,2.5293
4.4656,2.5293
4.4662,2.5244
4.4667,2.5293
4.4672,2.5195
4.4678,2.5293
4.4683,2.5293
4.4688,2.5293
4.4694,2.5195
4.4699,2.5195
4.4704,2.5195
4.4710,2.5293
4.4715,2.5293
4.4720,2.5293
4.4726,2.5293
4.4731,2.5293
4.4737,2.5293
4.4742,2.5244
4.4747,2.5195
4.4753,2.5244
4.4758,2.5244
4.4763,2.5293
4.4769,2.5293
4.4774,2.5293
4.4779,2.5293
4.4785,2.5195
4.4790,2.5293
4.4795,2.5244
4.4801,2.5293
4.4806,2.5293
4.4812,2.5293
4.4817,2.5195
4.4823,2.5244
4.4828,2.5195
4.4833,2.5293
4.4839,2.5342
4.4844,2.5195
4.4849,2.5195
4.4855,2.5293
4.4860,2.5293
4.4865,2.5342
4.4871,2.5293
4.4876,2.5293
4.4882,2.5293
4.4887,2.5146
4.4892,2.5342
4.4898,2.5293
4.4903,2.5293
4.4908,2.5342
4.4914,2.5293
4.4919,2.5293
4.4924,2.5293
4.4930,2.5244
4.4935,2.5244
4.4940,2.5195
4.4946,2.5342
4.4951,2.5293
4.4956,2.5244
4.4962,2.5244
4.4967,2.5293
4.4972,2.5244
4.4978,2.5195
4.4983,2.5293
4.4988,2.5293
4.4994,2.5244
4.4999,2.5244
4.5004,2.5244
4.5010,2.5293
4.5015,2.5293
4.5020,2.5293
4.5026,2.5244
4.5031,2.5244
4.5036,2.5342
4.5042,2.5244
4.5047,2.5293
4.5052,2.5244
4.5058,2.5293
4.5063,2.5244
4.5069,2.5293
4.5074,2.5244
4.5079,2.5293
4.5085,2.5342
4.5090,2.5293
4.5095,2.5293
4.5101,2.5293
4.5106,2.5293
4.5111,2.5293
4.5117,2.5293
4.5122,2.5244
4.5127,2.5244
4.5133,2.5244
4.5138,2.5293
4.5144,2.5244
4.5149,2.5244
4.5154,2.5244
4.5160,2.5293
4.5165,2.5293
4.5170,2.5244
4.5176,2.5342
4.5181,2.5293
4.5186,2.5293
4.5192,2.5293
4.5197,2.5293
4.5202,2.5293
4.5208,2.5244
4.5213,2.5293
4.5218,2.5244
4.5224,2.5342
4.5229,2.5293
4.5234,2.5244
4.5240,2.5293
4.5245,2.5293
4.5251,2.5293
4.5256,2.5293
4.5261,2.5244
4.5267,2.5293
4.5272,2.5244
4.5277,2.5293
4.5283,2.5244
4.5288,2.5293
4.5293,2.5293
4.5299,2.5293
4.5304,2.5293
4.5310,2.5293
4.5315,2.5293
4.5320,2.5293
4.5326,2.5244
4.5331,2.5244
4.5336,2.5293
4.5342,2.5244
4.5347,2.5244
4.5352,2.5293
4.5358,2.5293
4.5363,2.5293
4.5368,2.5293
4.5374,2.5195
4.5379,2.5293
4.5384,2.5244
4.5390,2.5293
4.5395,2.5195
4.5400,2.5195
4.5406,2.5293
4.5411,2.5244
4.5416,2.5293
4.5422,2.5293
4.5427,2.5195
4.5432,2.5293
4.5438,2.5195
4.5443,2.5293
4.5448,2.5195
4.5455,2.5293
4.5460,2.5244
4.5466,2.5293
4.5471,2.5293
4.5476,2.5293
4.5482,2.5244
4.5487,2.5244
4.5493,2.5293
4.5498,2.5195
4.5503,2.5342
4.5509,2.5244
4.5514,2.5244
4.5519,2.5293
4.5525,2.5195
4.5530,2.5195
4.5536,2.5293
4.5541,2.5293
4.5547,2.5244
4.5552,2.5342
4.5558,2.5244
4.5563,2.5293
4.5569,2.5293
4.5574,2.5244
4.5579,2.5293
4.5585,2.5293
4.5590,2.5244
4.5596,2.5293
4.5601,2.5293
4.5607,2.5293
4.5612,2.5293
4.5617,2.5342
4.5623,2.5293
4.5628,2.5293
4.5634,2.5244
4.5639,2.5293
4.5644,2.5293
4.5650,2.5293
4.5655,2.5293
4.5661,2.5293
4.5666,2.5293
4.5671,2.5244
4.5677,2.5244
4.5682,2.5293
4.5688,2.5244
4.5693,2.5293
4.5698,2.5293
4.5704,2.5342
4.5709,2.5293
4.5715,2.5293
4.5720,2.5244
4.5725,2.5293
4.5731,2.5293
4.5736,2.5293
4.5742,2.5293
4.5747,2.5244
4.5752,2.5293
4.5758,2.5293
4.5763,2.5293
4.5769,2.5244
4.5774,2.5293
4.5779,2.5342
4.5785,2.5244
4.5790,2.5195
4.5796,2.5293
4.5801,2.5195
4.5806,2.5195
4.5812,2.5342
4.5817,2.5195
4.5823,2.5244
4.5828,2.5293
4.5834,2.5293
4.5839,2.5244
4.5845,2.5244
4.5850,2.5293
4.5855,2.5293
4.5861,2.5293
4.5866,2.5293
4.5872,2.5293
4.5877,2.5293
4.5882,2.5293
4.5888,2.5244
4.5893,2.5293
4.5899,2.5195
4.5904,2.5293
4.5909,2.5195
4.5915,2.5195
4.5920,2.5293
4.5926,2.5293
4.5931,2.5293
4.5936,2.5244
4.5942,2.5293
4.5947,2.5293
4.5953,2.5293
4.5958,2.5195
4.5964,2.5293
4.5969,2.5244
4.5974,2.5293
4.5980,2.5195
4.5985,2.5244
4.5991,2.5293
4.5996,2.5195
4.6001,2.5293
4.6007,2.5293
4.6012,2.5195
4.6018,2.5244
4.6023,2.5293
4.6029,2.5293
4.6034,2.5244
4.6039,2.5293
4.6045,2.5195
4.6050,2.5293
4.6055,2.5195
4.6061,2.5244
4.6066,2.5293
4.6072,2.5244
4.6077,2.5244
4.6082,2.5293
4.6088,2.5195
4.6093,2.5293
4.6098,2.5244
4.6104,2.5195
4.6109,2.5293
4.6115,2.5244
4.6120,2.5293
4.6125,2.5293
4.6131,2.5244
4.6136,2.5293
4.6141,2.5293
4.6147,2.5293
4.6152,2.5293
4.6158,2.5293
4.6163,2.5293
4.6168,2.5293
4.6174,2.5293
4.6179,2.5293
4.6184,2.5244
4.6190,2.5293
4.6195,2.5293
4.6201,2.5244
4.6206,2.5293
4.6211,2.5293
4.6217,2.5195
4.6222,2.5293
4.6228,2.5293
4.6233,2.5195
4.6238,2.5293
4.6244,2.5244
4.6249,2.5244
4.6255,2.5293
4.6260,2.5293
4.6265,2.5244
4.6271,2.5293
4.6276,2.5244
4.6282,2.5244
4.6287,2.5244
4.6292,2.5244
4.6298,2.5244
4.6303,2.5195
4.6309,2.5244
4.6314,2.5293
4.6319,2.5244
4.6325,2.5244
4.6330,2.5195
4.6336,2.5293
4.6341,2.5244
4.6346,2.5244
4.6352,2.5195
4.6357,2.5195
4.6363,2.5244
4.6368,2.5293
4.6373,2.5244
4.6379,2.5293
4.6384,2.5244
4.6389,2.5293
4.6395,2.5293
4.6400,2.5244
4.6406,2.5293
4.6411,2.5342
4.6416,2.5244
4.6422,2.5293
4.6427,2.5293
4.6432,2.5195
4.6438,2.5293
4.6443,2.5195
4.6449,2.5195
4.6454,2.5293
4.6461,2.5244
4.6466,2.5244
4.6471,2.5244
4.6477,2.5195
4.6482,2.5244
4.6488,2.5244
4.6493,2.5195
4.6499,2.5293
4.6504,2.5146
4.6509,2.5293
4.6515,2.5293
4.6520,2.5195
4.6525,2.5195
4.6531,2.5293
4.6536,2.5293
4.6541,2.5244
4.6547,2.5293
4.6552,2.5293
4.6558,2.5195
4.6563,2.5293
4.6569,2.5293
4.6575,2.5293
4.6580,2.5195
4.6585,2.5293
4.6591,2.5293
4.6596,2.5293
4.6602,2.5244
4.6607,2.5244
4.6613,2.5244
4.6618,2.5244
4.6624,2.5293
4.6629,2.5293
4.6634,2.5293
4.6640,2.5293
4.6645,2.5244
4.6650,2.5293
4.6656,2.5244
4.6661,2.5293
4.6666,2.5244
4.6672,2.5293
4.6677,2.5195
4.6682,2.5293
4.6688,2.5293
4.6693,2.5293
4.6699,2.5293
4.6704,2.5293
4.6709,2.5293
4.6715,2.5244
4.6720,2.5244
4.6725,2.5293
4.6731,2.5244
4.6736,2.5293
4.6742,2.5293
4.6747,2.5293
4.6753,2.5293
4.6758,2.5293
4.6763,2.5244
4.6775,2.5195
4.6781,2.5293
4.6786,2.5195
4.6792,2.5293
4.6797,2.5293
4.6802,2.5293
4.6808,2.5244
4.6813,2.5244
4.6818,2.5244
4.6824,2.5244
4.6829,2.5293
4.6834,2.5293
4.6840,2.5244
4.6845,2.5293
4.6850,2.5195
4.6856,2.5195
4.6861,2.5195
4.6866,2.5244
4.6872,2.5195
4.6877,2.5293
4.6882,2.5244
4.6888,2.5244
4.6893,2.5244
4.6898,2.5293
4.6904,2.5244
4.6909,2.5293
4.6914,2.5195
4.6920,2.5195
4.6925,2.5244
4.6931,2.5293
4.6936,2.5244
4.6941,2.5293
4.6947,2.5244
4.6952,2.5293
4.6957,2.5244
4.6963,2.5293
4.6968,2.5293
4.6973,2.5195
4.6979,2.5244
4.6984,2.5195
4.6989,2.5293
4.6995,2.5195
4.7000,2.5293
4.7005,2.5293
4.7011,2.5244
4.7016,2.5195
4.7021,2.5195
4.7027,2.5146
4.7032,2.5244
4.7037,2.5195
4.7043,2.5293
4.7048,2.5293
4.7054,2.5244
4.7059,2.5244
4.7064,2.5244
4.7070,2.5244
4.7075,2.5244
4.7080,2.5244
4.7086,2.5195
4.7091,2.5244
4.7096,2.5293
4.7102,2.5293
4.7107,2.5244
4.7112,2.5244
4.7118,2.5244
4.7123,2.5244
4.7128,2.5244
4.7134,2.5244
4.7139,2.5195
4.7144,2.5195
4.7150,2.5195
4.7155,2.5293
4.7160,2.5195
4.7166,2.5195
4.7171,2.5195
4.7176,2.5244
4.7182,2.5293
4.7187,2.5244
4.7193,2.5293
4.7198,2.5195
4.7203,2.5293
4.7209,2.5293
4.7214,2.5293
4.7219,2.5244
4.7225,2.5244
4.7230,2.5195
4.7235,2.5293
4.7241,2.5293
4.7246,2.5293
4.7251,2.5293
4.7257,2.5244
4.7262,2.5293
4.7267,2.5195
4.7273,2.5244
4.7278,2.5244
4.7283,2.5244
4.7289,2.5244
4.7294,2.5195
4.7299,2.5195
4.7305,2.5244
4.7310,2.5244
4.7315,2.5244
4.7321,2.5195
4.7326,2.5293
4.7332,2.5244
4.7337,2.5244
4.7343,2.5244
4.7348,2.5293
4.7353,2.5293
4.7359,2.5244
4.7364,2.5244
4.7369,2.5244
4.7375,2.5293
4.7380,2.5244
4.7386,2.5293
4.7391,2.5244
4.7396,2.5195
4.7402,2.5244
4.7407,2.5293
4.7412,2.5293
4.7418,2.5293
4.7423,2.5293
4.7429,2.5293
4.7434,2.5195
4.7439,2.5293
4.7445,2.5244
4.7450,2.5244
4.7455,2.5244
4.7461,2.5293
4.7467,2.5244
4.7472,2.5244
4.7478,2.5244
4.7483,2.5244
4.7489,2.5195
4.7494,2.5293
4.7499,2.5293
4.7505,2.5244
4.7510,2.5293
4.7516,2.5195
4.7521,2.5244
4.7526,2.5244
4.7532,2.5244
4.7537,2.5195
4.7543,2.5244
4.7548,2.5195
4.7553,2.5244
4.7559,2.5293
4.7564,2.5293
4.7570,2.5195
4.7575,2.5195
4.7580,2.5244
4.7586,2.5293
4.7591,2.5244
4.7597,2.5293
4.7602,2.5195
4.7608,2.5244
4.7613,2.5244
4.7618,2.5244
4.7624,2.5195
4.7629,2.5244
4.7635,2.5293
4.7640,2.5244
4.7645,2.5244
4.7651,2.5244
4.7656,2.5244
4.7662,2.5244
4.7667,2.5244
4.7672,2.5293
4.7678,2.5195
4.7683,2.5195
4.7689,2.5244
4.7694,2.5244
4.7699,2.5293
4.7705,2.5244
4.7710,2.5195
4.7716,2.5342
4.7721,2.5244
4.7726,2.5244
4.7732,2.5244
4.7737,2.5195
4.7743,2.5244
4.7748,2.5244
4.7754,2.5244
4.7759,2.5293
4.7764,2.5195
4.7770,2.5244
4.7775,2.5293
4.7781,2.5244
4.7786,2.5244
4.7791,2.5244
4.7797,2.5195
4.7802,2.5293
4.7808,2.5244
4.7813,2.5244
4.7818,2.5195
4.7824,2.5293
4.7829,2.5244
4.7835,2.5195
4.7840,2.5293
4.7846,2.5244
4.7851,2.5195
4.7856,2.5244
4.7862,2.5244
4.7867,2.5195
4.7873,2.5244
4.7878,2.5244
4.7884,2.5244
4.7889,2.5293
4.7894,2.5195
4.7903,2.5293
4.7909,2.5293
4.7914,2.5195
4.7920,2.5244
4.7925,2.5244
4.7930,2.5195
4.7936,2.5293
4.7941,2.5293
4.7947,2.5195
4.7952,2.5244
