Время[c], Напряжение[В]
0.1826,2.4951
0.1831,2.4951
0.1837,2.4902
0.1842,2.4805
0.1847,2.4951
0.1853,2.4951
0.1858,2.4854
0.1863,2.4902
0.1868,2.4902
0.1874,2.4902
0.1879,2.4854
0.1884,2.4951
0.1889,2.4902
0.1894,2.4951
0.1900,2.4902
0.1905,2.4854
0.1910,2.4951
0.1915,2.4854
0.1921,2.4902
0.1926,2.4951
0.1931,2.4854
0.1936,2.4902
0.1942,2.4951
0.1947,2.4854
0.1952,2.4951
0.1957,2.4902
0.1962,2.4854
0.1968,2.4951
0.1973,2.4902
0.1978,2.4951
0.1983,2.4902
0.1989,2.4902
0.1994,2.4854
0.1999,2.4902
0.2005,2.4951
0.2010,2.4902
0.2015,2.4854
0.2021,2.4854
0.2026,2.4951
0.2031,2.4951
0.2036,2.4951
0.2041,2.4902
0.2047,2.4854
0.2052,2.4951
0.2057,2.4902
0.2062,2.4951
0.2068,2.4951
0.2073,2.4854
0.2078,2.4902
0.2083,2.4951
0.2089,2.4951
0.2094,2.4951
0.2099,2.4902
0.2104,2.4854
0.2109,2.4854
0.2115,2.4951
0.2120,2.4902
0.2125,2.4902
0.2130,2.4902
0.2136,2.4854
0.2141,2.4902
0.2146,2.4902
0.2151,2.4902
0.2157,2.4902
0.2162,2.4902
0.2167,2.4902
0.2172,2.4951
0.2177,2.4902
0.2183,2.4902
0.2188,2.4951
0.2193,2.4951
0.2199,2.4951
0.2204,2.4902
0.2209,2.4902
0.2214,2.4805
0.2219,2.4902
0.2225,2.4951
0.2230,2.4902
0.2235,2.4951
0.2240,2.4902
0.2246,2.4854
0.2251,2.4902
0.2256,2.4951
0.2261,2.4854
0.2266,2.4854
0.2272,2.4902
0.2277,2.4902
0.2282,2.4951
0.2287,2.4951
0.2293,2.4854
0.2298,2.4951
0.2303,2.4854
0.2309,2.4951
0.2314,2.4902
0.2319,2.4951
0.2324,2.4902
0.2329,2.4902
0.2335,2.4854
0.2340,2.4951
0.2345,2.4902
0.2350,2.4902
0.2356,2.4951
0.2361,2.4951
0.2366,2.4951
0.2371,2.4854
0.2376,2.4902
0.2382,2.4805
0.2387,2.4902
0.2392,2.4951
0.2397,2.4951
0.2403,2.4902
0.2408,2.4951
0.2413,2.4805
0.2418,2.4902
0.2424,2.4902
0.2429,2.4902
0.2434,2.4951
0.2439,2.4951
0.2444,2.4951
0.2450,2.4951
0.2455,2.4854
0.2460,2.4902
0.2465,2.4902
0.2471,2.4902
0.2476,2.4902
0.2481,2.4902
0.2486,2.4902
0.2491,2.4951
0.2497,2.4902
0.2502,2.4902
0.2507,2.4805
0.2512,2.4902
0.2518,2.4902
0.2523,2.4902
0.2528,2.4951
0.2533,2.4951
0.2539,2.4902
0.2544,2.4951
0.2549,2.4951
0.2554,2.4902
0.2559,2.4951
0.2565,2.4902
0.2570,2.4902
0.2575,2.4902
0.2580,2.4951
0.2586,2.4951
0.2591,2.4951
0.2596,2.4902
0.2601,2.4902
0.2607,2.4951
0.2612,2.4854
0.2617,2.4902
0.2622,2.4902
0.2627,2.4902
0.2633,2.4951
0.2638,2.4902
0.2643,2.4854
0.2648,2.4951
0.2654,2.4902
0.2659,2.4902
0.2664,2.4951
0.2669,2.4854
0.2674,2.4951
0.2680,2.4902
0.2685,2.4902
0.2690,2.4902
0.2695,2.4902
0.2701,2.4854
0.2706,2.4951
0.2711,2.4902
0.2716,2.4951
0.2721,2.4902
0.2727,2.4902
0.2732,2.4902
0.2737,2.4902
0.2742,2.4902
0.2748,2.4902
0.2753,2.4902
0.2758,2.4805
0.2763,2.4805
0.2769,2.4854
0.2774,2.4854
0.2779,2.4902
0.2784,2.4902
0.2789,2.4951
0.2795,2.4951
0.2800,2.4902
0.2805,2.4951
0.2810,2.4902
0.2816,2.4902
0.2821,2.4902
0.2826,2.4902
0.2831,2.4951
0.2837,2.4902
0.2842,2.4902
0.2847,2.4902
0.2852,2.4902
0.2858,2.4854
0.2863,2.4902
0.2868,2.4854
0.2873,2.4902
0.2879,2.4902
0.2884,2.4854
0.2889,2.4951
0.2894,2.4951
0.2899,2.4902
0.2905,2.4951
0.2910,2.4902
0.2915,2.4902
0.2920,2.4951
0.2926,2.4854
0.2931,2.4805
0.2936,2.4854
0.2941,2.4951
0.2946,2.4902
0.2952,2.4951
0.2957,2.4854
0.2962,2.4854
0.2967,2.4902
0.2973,2.4902
0.2978,2.4902
0.2983,2.4902
0.2988,2.4951
0.2994,2.4902
0.3000,2.4902
0.3005,2.4854
0.3011,2.4951
0.3016,2.4951
0.3021,2.4902
0.3027,2.4854
0.3032,2.4902
0.3038,2.4902
0.3043,2.4951
0.3048,2.4902
0.3053,2.4951
0.3059,2.4902
0.3064,2.4902
0.3069,2.4951
0.3074,2.4902
0.3079,2.4854
0.3085,2.4805
0.3090,2.4902
0.3095,2.4902
0.3100,2.4902
0.3106,2.4902
0.3111,2.4902
0.3116,2.4902
0.3121,2.4854
0.3126,2.4951
0.3132,2.4854
0.3137,2.4902
0.3142,2.4902
0.3147,2.4805
0.3153,2.4902
0.3158,2.4902
0.3163,2.4854
0.3168,2.4902
0.3173,2.4902
0.3179,2.4902
0.3184,2.4902
0.3189,2.4902
0.3194,2.4902
0.3200,2.4902
0.3205,2.4902
0.3210,2.4902
0.3215,2.4951
0.3221,2.4805
0.3226,2.4902
0.3231,2.4951
0.3236,2.4951
0.3241,2.4902
0.3247,2.4951
0.3252,2.4902
0.3257,2.4951
0.3262,2.4951
0.3268,2.4902
0.3273,2.4902
0.3278,2.4854
0.3283,2.4902
0.3288,2.4951
0.3294,2.4902
0.3299,2.4805
0.3304,2.4854
0.3309,2.4902
0.3315,2.4854
0.3320,2.4854
0.3325,2.4805
0.3330,2.4902
0.3336,2.4902
0.3341,2.4902
0.3346,2.4854
0.3351,2.4902
0.3356,2.4902
0.3362,2.4902
0.3367,2.4854
0.3372,2.4902
0.3377,2.4805
0.3383,2.4805
0.3388,2.4902
0.3393,2.4951
0.3398,2.4951
0.3404,2.4854
0.3409,2.4951
0.3414,2.4902
0.3419,2.4902
0.3424,2.4902
0.3430,2.4951
